ETF,start_date,end_date,duration,event,start_drawdown_depth,roll_vol_21,roll_mean_21
SPY,2023-12-20,2023-12-26,3,1,0.013857380583936969,0.0056487041156443275,0.0016381056183408915
SPY,2023-12-29,2024-01-19,13,1,0.002895046188518215,0.005831399764024064,0.0023130210213299957
SPY,2024-01-26,2024-01-29,1,1,0.001270346979865809,0.00570868489199361,0.0011630145949364761
SPY,2024-01-30,2024-02-02,3,1,0.0007733555646462635,0.005910048126312068,0.0013977990038159887
SPY,2024-02-05,2024-02-07,2,1,0.003641037276658129,0.007254967310601156,0.0025079706599147335
SPY,2024-02-12,2024-02-15,3,1,0.0004388911763228252,0.006847030977744879,0.0024006327129700955
SPY,2024-02-16,2024-02-22,3,1,0.004979919478028233,0.007666753864295073,0.002246715415166652
SPY,2024-02-26,2024-02-29,3,1,0.003662552672696403,0.008623191190696093,0.001720961651217418
SPY,2024-03-04,2024-03-07,3,1,0.0010725169682200804,0.007246941241660208,0.0021970887404933743
SPY,2024-03-08,2024-03-12,2,1,0.00600225698311636,0.00767125452870553,0.001284600462864145
SPY,2024-03-13,2024-03-19,4,1,0.0015674457678751892,0.007919332185879112,0.0014039262038563203
SPY,2024-03-22,2024-03-27,3,1,0.001895970075854966,0.005799622865874086,0.0014170730430553512
SPY,2024-03-28,2024-05-14,32,1,0.00019126510604458084,0.00598320306684062,0.0017031899280535092
SPY,2024-05-16,2024-05-20,2,1,0.002057544449627807,0.007416459543619323,0.0026045155537912307
SPY,2024-05-22,2024-06-05,9,1,0.0028790574660764456,0.0065270078001557486,0.0022243686163974717
SPY,2024-06-06,2024-06-10,2,1,1.8709281733134313e-05,0.005437427327043181,0.0015865356206519082
SPY,2024-06-20,2024-07-02,8,1,0.0027166450317013383,0.00523013758128808,0.00149802939516601
SPY,2024-07-11,2024-07-15,2,1,0.008622723484314816,0.0044466337498278285,0.0019691664516099205
SPY,2024-07-17,2024-09-19,45,1,0.014021174470158323,0.005662248289145688,0.001379725454779431
SPY,2024-09-20,2024-09-23,1,1,0.001728744971970516,0.009132473942581855,0.0007895586709648694
SPY,2024-09-25,2024-09-26,1,1,0.002205561460083644,0.008668769117628749,0.0009248854801359423
SPY,2024-09-27,2024-09-30,1,1,0.0014504715688140254,0.008572534044935493,0.0012560947231019344
SPY,2024-10-01,2024-10-09,6,1,0.008958540922530905,0.008668871286198877,0.00056133134967869
SPY,2024-10-10,2024-10-11,1,1,0.001749953629888898,0.006153081107039328,0.0019749271359498
SPY,2024-10-15,2024-10-18,3,1,0.007769734145458431,0.006524196612771308,0.0015578957368222405
SPY,2024-10-21,2024-11-06,12,1,0.0016422048779181366,0.005505831181311788,0.0012717046093861921
SPY,2024-11-12,2024-11-26,10,1,0.0031063437917482717,0.008475874234741896,0.0010143291472280267
SPY,2024-11-27,2024-11-29,1,1,0.0030300598777294402,0.008787170476296473,0.0013763068415464544
SPY,2024-12-05,2024-12-06,1,1,0.0016456005888160136,0.006988332013456473,0.002411719379900285
SPY,2024-12-09,2025-01-22,28,1,0.005149728556849383,0.004773177060517925,0.0007196826313990466
SPY,2025-01-24,2025-02-18,16,1,0.0029190754497478294,0.00872994904819443,0.0013359906712148443
SPY,2025-02-20,2025-06-26,87,1,0.004160263858176231,0.006395275921847957,0.0005753119632627462
SPY,2025-07-01,2025-07-02,1,1,0.000323679349030939,0.006129867202759307,0.0023707483412083942
SPY,2025-07-07,2025-07-10,3,1,0.007452017083297365,0.006530341485272778,0.0020783003798400044
SPY,2025-07-11,2025-07-17,4,1,0.003515423870595577,0.006229458150415509,0.0017353917891601107
SPY,2025-07-18,2025-07-21,1,1,0.0007325109099924034,0.004836186908197013,0.002477065803083791
SPY,2025-07-28,2025-08-08,9,1,0.00025100355530401525,0.004057354861008766,0.001912176261436036
SPY,2025-08-11,2025-08-12,1,1,0.001977539677012449,0.006396905589429601,0.0009300733272550608
SPY,2025-08-15,2025-08-22,5,1,0.0023412898567806693,0.00658641003379006,0.0011535704464338916
SPY,2025-08-25,2025-08-27,2,1,0.0044008717131437695,0.007426309916953727,0.00039969443758763645
SPY,2025-08-29,2025-09-04,3,1,0.005963681603979178,0.007532833349842476,0.0009672308762016699
SPY,2025-09-05,2025-09-09,2,1,0.0028961484545497688,0.005948452539380541,0.0010759218322924625
SPY,2025-09-12,2025-09-15,1,1,0.00033470650984506064,0.005540309831183762,0.0009156227877461866
SPY,2025-09-16,2025-09-18,2,1,0.0013767927852817005,0.0055917214588516945,0.0012100500160706065
SPY,2025-09-23,2025-10-01,6,1,0.0054435663888288,0.004623262459500914,0.001434745539606244
SPY,2025-10-03,2025-10-06,1,1,1.4767329348145115e-05,0.0036945375425003987,0.0015832889794833373
SPY,2025-10-07,2025-10-08,1,1,0.0037074922509619007,0.0037694734280497703,0.0015981581488283643
SPY,2025-10-09,2025-10-24,11,1,0.002897008379237438,0.004005836483556136,0.0014956912386356197
SPY,2025-10-30,2025-12-10,28,1,0.010998143937076921,0.009064141259843976,0.000803868180791272
SPY,2025-12-12,2025-12-23,7,1,0.010751968918511394,0.008312108227356525,-0.0001130191145154345
SPY,2025-12-26,2025-12-31,3,0,0.00010141503224315424,0.005497619749682655,0.00120709135657926
QQQ,2015-01-05,2015-01-08,3,1,0.014668830657009989,,
QQQ,2015-01-09,2015-01-22,8,1,0.006583148988991876,,
QQQ,2015-01-26,2015-02-10,11,1,0.0011510260802694587,,
QQQ,2015-02-25,2015-02-26,1,1,0.0024859879567629478,0.00900425932120225,0.0018783747511861065
QQQ,2015-02-27,2015-03-02,1,1,0.004408515474683907,0.006248616020797036,0.003404750492996831
QQQ,2015-03-03,2015-04-24,37,1,0.0046621763376211685,0.005975001525141894,0.0035259339856627044
QQQ,2015-04-27,2015-05-21,18,1,0.00253297483656085,0.007548918744650778,0.0022823326506509786
QQQ,2015-05-22,2015-05-27,2,1,0.000994649194534759,0.008532597818876624,0.0006117079925182076
QQQ,2015-05-28,2015-06-23,18,1,0.0022531971453883196,0.009122844015745663,0.00028905297981934993
QQQ,2015-06-24,2015-07-16,15,1,0.005144740360189828,0.007495461781232111,0.0005521379322728324
QQQ,2015-07-21,2015-10-28,70,1,0.0006140449134548072,0.010086780563288333,0.0017108958208396346
QQQ,2015-10-29,2015-11-02,2,1,0.001578500087497762,0.009201257355452035,0.005341751504858631
QQQ,2015-11-05,2015-12-01,17,1,0.0026953656642559358,0.00880914096347362,0.003926891799072374
QQQ,2015-12-02,2016-07-27,163,1,0.006165221674207155,0.00836121437655157,-6.651539172608559e-05
QQQ,2016-08-02,2016-08-05,3,1,0.007596868498496764,0.005682986222459618,0.0029386883328550335
QQQ,2016-08-08,2016-08-09,1,1,0.0011133774963748792,0.004696948265512447,0.002665429620496336
QQQ,2016-08-10,2016-08-11,1,1,0.00256580444591364,0.004733936127135731,0.002142191636877935
QQQ,2016-08-16,2016-09-06,14,1,0.005522402973185524,0.004691715469623086,0.0018710716792790186
QQQ,2016-09-08,2016-09-21,9,1,0.005851677845980825,0.0034051861503879254,0.0001260854673980859
QQQ,2016-09-23,2016-10-10,11,1,0.006381902682893276,0.009017563416062371,0.0007388829777706402
QQQ,2016-10-11,2016-10-24,9,1,0.01425957389583076,0.007423321576283038,0.0006038047449630624
QQQ,2016-10-25,2016-12-13,34,1,0.0031780059423068426,0.0060560003158231495,0.0007449183371714328
QQQ,2016-12-14,2016-12-20,4,1,0.0020751537868580897,0.007968286570859814,0.0022633685066447513
QQQ,2016-12-21,2016-12-27,3,1,0.0007467732026267982,0.007106627574672118,0.0009057338777236681
QQQ,2016-12-28,2017-01-05,5,1,0.007780134769615695,0.0073229022353542466,0.0006799033466597265
QQQ,2017-01-12,2017-01-13,1,1,0.0015457054523565516,0.005478564433411986,0.0016301756924590616
QQQ,2017-01-17,2017-01-20,3,1,0.003004318481106183,0.00493781997153463,0.0011518154437978004
QQQ,2017-01-30,2017-02-06,5,1,0.007790077212476254,0.005073351960469169,0.001922937393582779
QQQ,2017-02-16,2017-02-17,1,1,0.00030928845436200777,0.003749706261064859,0.0023447083321473513
QQQ,2017-02-23,2017-03-01,4,1,0.0037548515051647724,0.0038918016230778964,0.0021847124021812407
QQQ,2017-03-02,2017-03-13,7,1,0.0050215438556072325,0.003729657086281481,0.0023165993551993113
QQQ,2017-03-14,2017-03-15,1,1,0.0024314928719432064,0.003811698695613914,0.0014397086196422776
QQQ,2017-03-16,2017-03-29,9,1,0.000681418602604759,0.00384329785585239,0.0012721539380082412
QQQ,2017-03-31,2017-04-04,2,1,0.0006792674313997497,0.0046104893139997565,0.0006780194311665726
QQQ,2017-04-05,2017-04-20,10,1,0.004075110542680081,0.004663321163518113,0.0006286932607241768
QQQ,2017-04-21,2017-04-24,1,1,0.00022668595638181122,0.003734398235278921,0.0006765108201029227
QQQ,2017-04-26,2017-04-27,1,1,0.001405694930008693,0.0046247343406665715,0.0014692925732046514
QQQ,2017-05-03,2017-05-05,2,1,0.003201273242791414,0.004917728715699092,0.0016588577856929366
QQQ,2017-05-11,2017-05-12,1,1,0.0007945331190370396,0.004536061059756249,0.0024155463593752
QQQ,2017-05-17,2017-05-24,5,1,0.025426068774324104,0.007300958544107231,0.0017065235855080046
QQQ,2017-05-31,2017-06-01,1,1,0.0003537330072811191,0.006930579070916516,0.001398804275114809
QQQ,2017-06-05,2017-06-08,3,1,0.00020928421859126408,0.007189353876871577,0.0021702098554007066
QQQ,2017-06-09,2017-07-19,27,1,0.025005095418414305,0.009406326452644768,0.0005405594209170261
QQQ,2017-07-21,2017-07-24,1,1,0.00041593617681545805,0.008939707947467556,0.0011267999268355646
QQQ,2017-07-25,2017-07-26,1,1,0.0025557424914943528,0.008984403848207935,0.001053650241973921
QQQ,2017-07-27,2017-08-31,25,1,0.00628121537940793,0.007895147848005518,0.002003075927104858
QQQ,2017-09-01,2017-09-12,6,1,0.001368161212120944,0.009184388601763146,0.0008589554202635399
QQQ,2017-09-14,2017-10-05,15,1,0.005873305313321961,0.008071998498678203,0.00050320106259279
QQQ,2017-10-09,2017-10-11,2,1,0.001151196060696012,0.005311315148836869,0.0011750588574295628
QQQ,2017-10-12,2017-10-13,1,1,0.0018240873242985126,0.004802078599057902,0.000541148433703832
QQQ,2017-10-18,2017-10-27,7,1,0.0012075384778412468,0.0046117839945211256,0.0009890792875163414
